"Table S1. Differentially Expressed Genes after Remote Fear Memory Extinction between CI-994- and VEH-Treated Animals, Related to Experimental Procedures"					
Gene	Locus	log2 	Expression (a.u.) in		p-value
Lrrn1	chr6:107479719-107520222	0.53885	31.228	45.3685	0.000373806
Sipa1l2	chr8:127941962-128016610	0.53922	10.7731	15.6553	0.00105699
Cpne5	chr17:29293465-29374735	0.545637	4.16607	6.08106	0.0215871
Ptgs2	chr1:151947253-151955142	0.55129	6.49796	9.52208	0.00775298
Arhgap20	chr9:51573456-51683990	0.552632	11.3363	16.6276	0.000641658
Arhgef10l	chr4:140070399-140221820	0.557571	5.97003	8.78663	0.0256898
Nbl1	chr4:138638206-138648885	0.561589	59.2492	87.4455	0.000481355
Gpc4	chrX:49406194-49518100	0.565498	12.0366	17.813	0.00677928
Cxcl12	chr6:117118552-117131386	0.56755	16.8469	24.9672	0.0183053
C1qtnf4	chr2:90725942-90730683	0.570168	94.5617	140.395	0.000241234
Trp53i11	chr2:93027740-93041914	0.57281	24.4612	36.3841	0.000636038
Arhgap15	chr2:43604343-44243143	0.581344	5.12514	7.66844	0.0280667
Ipcef1	chr10:3308331-3557940	0.587571	4.25587	6.39535	0.012466
Pcp4	chr16:96689212-96747400	0.591126	133.252	200.734	0.00043212
Eepd1	chr9:25289181-25411695	0.591458	6.29171	9.48015	0.0155908
Npy1r	chr8:69221320-69230697	0.592143	9.69921	14.6214	0.00370624
Dock10	chr1:80497647-80755128	0.599122	8.42262	12.7585	0.00029679
Smad3	chr9:63494573-63605801	0.603446	12.6698	19.2498	0.000277845
Foxo1	chr3:52072258-52154031	0.603817	8.8759	13.489	0.0006039
Peli2	chr14:48740543-48880558	0.608978	4.473	6.82213	0.00349676
Gorab	chr1:165315039-165333772	0.610727	4.53443	6.9242	0.0309553
Spsb1	chr4:149270392-149329115	0.616398	8.29835	12.7217	0.00374878
Cntn4	chr6:105627738-106649299	0.626948	2.61808	4.04308	0.0445415
Anxa11	chr14:26661640-26706290	0.629231	11.589	17.9252	0.0026234
Zfpm2	chr15:40486587-40936138	0.635309	6.47815	10.0623	0.00105991
Slc13a3	chr2:165230794-165298697	0.644196	4.13447	6.46163	0.0162852
Cd109	chr9:78463352-78564067	0.645283	2.23958	3.50281	0.0148257
Kbtbd11	chr8:15011024-15033332	0.646761	32.277	50.5344	8.28E-06
Cyth4	chr15:78427476-78452449	0.647655	5.60114	8.77485	0.0104114
Npnt	chr3:132545658-132613255	0.64824	5.81135	9.10787	0.00393397
Cebpb	chr2:167514414-167515918	0.651197	12.7054	19.9534	0.0106706
Drd5	chr5:38710747-38713549	0.651202	5.84294	9.1762	0.00921399
Rprm	chr2:53936503-53937963	0.652259	13.1155	20.6126	0.00755306
Chrm3	chr13:9875858-10360049	0.653453	18.8548	29.6572	0.000115509
Elk3	chr10:92710160-92773904	0.654662	1.86073	2.92925	0.0430039
6330527O06Rik	chr2:135883662-135895653	0.658597	13.4509	21.2329	0.00190277
Plekha2	chr8:26149616-26212283	0.663217	8.31268	13.164	0.000312333
Slc7a11	chr3:50168857-50247535	0.66488	4.5844	7.26828	0.000236171
Bok	chr1:95582270-95592339	0.66548	42.0124	66.6357	0.000125332
Plk5	chr10:79819203-79828234	0.668671	5.93851	9.43991	0.0170306
Thsd7a	chr6:12261607-12699253	0.670942	4.38959	6.98872	0.000124127
Sox11	chr12:28019132-28027583	0.679493	1.2361	1.97971	0.0195404
Grhpr	chr4:44994282-45003568	0.688271	15.274	24.6117	0.00515702
Lypd1	chr1:127573572-127808791	0.691339	33.5152	54.1197	3.23E-05
Maml2	chr9:13424432-13513977	0.692576	3.83846	6.2036	0.0101661
Ndst4	chr3:125107008-125427904	0.697678	5.28804	8.57663	0.00261387
Igfbp5	chr1:72904638-72921439	0.702788	25.2419	41.0848	2.27E-06
Slc17a6	chr7:58877199-58926496	0.715539	2.11002	3.46486	0.0185971
Smoc2	chr17:14416512-14541797	0.728827	9.34234	15.483	0.000452112
Htr4	chr18:62483857-62627456	0.72952	2.52209	4.18184	0.00825634
Ptprn2	chr12:117724192-118575485	0.733166	51.767	86.0514	6.00E-07
Wfs1	chr5:37357342-37380221	0.736829	42.6007	70.9944	9.85E-07
Igfbp4	chr11:98902573-98913957	0.73936	38.7439	64.6805	5.25E-06
Rasl10a	chr11:4954133-4965330	0.744717	20.8346	34.9114	0.0138907
Il1r1	chr1:40281924-40373022	0.74603	2.16087	3.62415	0.0156119
Myoc	chr1:164569280-164588350	0.752106	6.29269	10.5985	0.00504141
Pde7b	chr10:20117809-20444874	0.755683	3.14747	5.31429	0.00438107
Gabrd	chr4:154759087-154772178	0.762527	9.47733	16.0779	0.00171878
Fam163b	chr2:26965898-26997997	0.763048	59.1152	100.323	2.72E-07
Lct	chr1:130181340-130224895	0.767834	9.86959	16.8051	4.90E-06
Ranbp3l	chr15:8918118-8997082	0.76807	1.21492	2.069	0.0498213
Npy5r	chr8:69203863-69211993	0.784113	2.36405	4.07098	0.0357707
Wnt9a	chr11:59120431-59147054	0.791888	1.72625	2.98872	0.031698
Grm2	chr9:106546865-106558440	0.803488	13.8896	24.2417	1.01E-05
Npy2r	chr3:82342304-82352007	0.806975	17.0764	29.8758	9.90E-06
Prkcd	chr14:31408539-31439394	0.820249	8.03552	14.1884	0.00021344
Mmrn2	chr14:35188689-35217472	0.82931	0.950979	1.68973	0.0487136
Sema5b	chr16:35541447-35664344	0.829646	2.4115	4.28584	0.00340332
Fstl4	chr11:52578207-53000849	0.83478	3.17334	5.65993	0.0045306
Parvg	chr15:84155149-84173408	0.836006	3.0753	5.48972	0.00912984
Serpinf1	chr11:75223530-75236125	0.844563	6.58975	11.8334	0.00512389
Esyt2	chr12:117519694-117611571	0.85072	5.77946	10.4227	1.28E-05
Ccdc3	chr2:5058821-5151912	0.852087	7.43265	13.4167	0.000240342
Prox1	chr1:191945657-191994559	0.872211	12.636	23.1298	5.35E-07
Gjb2	chr14:57717438-57723539	0.877148	2.03822	3.74369	0.0229423
Doc2b	chr11:75582591-75609559	0.88252	20.4968	37.7877	1.89E-08
Serpinb1a	chr13:32933960-32943054	0.904272	2.25241	4.21561	0.0241887
Cyp26b1	chr6:84521407-84543902	0.904909	3.25101	6.08728	0.00220799
Lrrtm4	chr6:79968870-79974926	0.907639	7.20309	13.5128	0.000104689
Acer2	chr4:86520317-86566785	0.910205	1.33059	2.5006	0.0124538
Cebpd	chr16:15887378-16146926	0.918744	5.2178	9.86409	0.00147743
C1ql3	chr2:12845667-12932491	0.924131	45.6207	86.5671	1.31E-09
St3gal1	chr15:66934436-67008444	0.944957	2.23265	4.29815	0.000267814
Iyd	chr10:6791663-6806262	0.955996	2.83066	5.49124	0.0184014
Gsg1l	chr7:133021932-133225925	0.959915	3.78762	7.36766	0.000120049
Mcm6	chr1:130228167-130256233	0.97307	3.51026	6.89068	0.000736643
Tspan18	chr2:93041916-93174644	0.982152	4.82944	9.54012	1.88E-05
Plxnd1	chr6:115904828-115945023	0.987313	2.58657	5.12785	2.65E-05
9930013L23Rik	chr7:91081366-91235015	1.00389	1.69328	3.39571	0.000146154
Sema5a	chr15:32174567-32626096	1.02631	11.3732	23.1651	8.08E-12
Stxbp6	chr12:45953472-46175470	1.02791	18.3816	37.4813	1.06E-10
Bambi	chr18:3507954-3516402	1.05804	0.811315	1.68924	0.00789303
Fat4	chr3:38785861-38910905	1.06916	1.56233	3.27809	1.54E-07
Cntnap5a	chr1:117581713-118477251	1.07849	1.24014	2.61897	0.00371479
Slc38a5	chrX:7848517-7857302	1.09861	1.36485	2.92281	0.0266024
Pgm5	chr19:24748497-24936332	1.12166	0.74358	1.61801	0.00145974
Arsj	chr3:126066769-126143292	1.13501	0.851878	1.87089	0.00945521
Fmod	chr1:135934091-135944854	1.14481	1.54362	3.41322	0.003652
Aldh1a2	chr9:71063595-71144050	1.15224	1.16849	2.59707	0.0157653
Trpc6	chr9:8544141-8680741	1.21721	2.14955	4.99764	0.000168461
Htra4	chr8:26135399-26149434	1.2236	0.719318	1.67981	0.034449
Spata13	chr14:61253565-61383393	1.24597	2.1111	5.00707	1.92E-07
Dsp	chr13:38243162-38290446	1.25608	5.59173	13.3556	6.72E-13
Eps8l1	chr7:4416343-4430844	1.28302	1.84474	4.48913	0.00243657
Net1	chr13:3881808-3917466	1.29736	2.19781	5.40176	5.58E-05
Adcyap1	chr17:93598761-93604829	1.33665	1.07594	2.71743	0.00968393
Krt9	chr11:100048094-100054560	1.338	1.30057	3.28785	0.00141216
Nsun3	chr16:62734677-62786542	1.35648	1.41651	3.62712	0.0117378
Lect1	chr14:80037496-80061977	1.38914	1.09827	2.87661	0.0164199
Aard	chr15:51871652-51877269	1.39623	1.21847	3.20715	0.0153625
Cacng5	chr11:107735918-107776369	1.44189	2.96397	8.05241	5.68E-05
Penk	chr4:4060682-4065592	1.46409	9.91184	27.3456	1.81E-08
Pdyn	chr2:129513736-129515604	1.51387	3.46508	9.8954	0.0032531
Cwc22	chr2:77733709-77784410	1.59217	0.812589	2.44997	0.000527578
Clec3b	chr9:123060063-123066550	1.84197	1.06032	3.80122	0.00855605
A230065H16Rik	chr12:112645019-112650288	1.87779	1.13705	4.17878	0.0295107
Crabp1	chr9:54612614-54620916	1.99761	0.779684	3.11358	0.0324181
Grem1	chr2:113588831-113598805	2.01654	0.547975	2.21717	0.00367828
C1ql2	chr1:122237158-122239751	2.32041	10.5098	52.4941	0
Ctxn3	chr18:57628139-57637788	2.54293	0.399567	2.32856	0.00228806
Ddx3y	chrY:597157-623056	7.26521	0.0502634	7.73213	1.44E-10
Uty	chrY:433586-582181	8.01362	0.00820886	2.1214	0.00179711
					
